no,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel
94,399,honda,fit,2009,101620,1300,automatic,2,righthand,petrol
95,400,nissan,note,2011,29000,1500,automatic,2,righthand,petrol
96,400,nissan,cube,2010,94000,1500,automatic,2,righthand,petrol
97,400,nissan,note,2010,54000,1500,automatic,2,righthand,petrol
98,400,toyota,passo,2010,126000,1000,automatic,2,righthand,petrol
99,400,nissan,note,2011,128000,1500,automatic,2,righthand,petrol
100,400,nissan,note,2010,133000,1500,automatic,2,righthand,petrol
101,400,nissan,note,2011,161600,1500,automatic,2,righthand,petrol
102,400,daihatsu,tanto,2012,183800,660,automatic,2,righthand,petrol
103,401,toyota,passo,2009,58544,1000,automatic,2,righthand,petrol
104,401,toyota,passo,2008,48698,1000,automatic,2,righthand,petrol
105,420,honda,insight,2010,316334,1290,automatic,2,righthand,petrol
106,428,nissan,cube cubic,2007,107065,1500,automatic,2,righthand,petrol
107,429,toyota,passo,2009,38565,1300,automatic,2,righthand,petrol
108,430,nissan,note,2011,102000,1500,automatic,2,righthand,petrol
109,430,nissan,march,2011,127000,1200,automatic,2,righthand,petrol
110,430,honda,fit,2004,119600,1330,automatic,2,righthand,petrol
111,440,nissan,note,2011,113000,1500,automatic,2,righthand,petrol
112,440,subaru,impreza,2009,90000,1500,automatic,2,righthand,petrol
113,442,mitsubishi,pajero mini,1999,53395,660,manual,4,righthand,petrol
114,448,mazda,verisa,2004,40288,1500,automatic,2,righthand,petrol
115,448,toyota,passo,2007,35435,1000,automatic,2,righthand,petrol
116,448,toyota,passo,2009,53550,1000,automatic,2,righthand,petrol
117,448,mitsubishi,pajero mini,1998,36274,660,automatic,2,righthand,petrol
118,448,toyota,passo,2009,20815,1000,automatic,2,righthand,petrol
119,448,mitsubishi,pajero mini,2001,97257,660,automatic,2,righthand,petrol
120,448,toyota,passo,2009,67804,1000,automatic,2,righthand,petrol
121,448,honda,fit,2007,58816,1300,automatic,2,righthand,petrol
122,448,suzuki,swift,2008,46078,1200,automatic,2,righthand,petrol
123,450,nissan,cube,2012,136000,1500,automatic,2,righthand,petrol
124,450,nissan,note,2011,77000,1500,automatic,2,righthand,petrol
125,450,nissan,cube,2011,109000,1500,automatic,2,righthand,petrol
126,450,toyota,passo,2011,47000,1000,automatic,2,righthand,petrol
127,450,nissan,note,2011,67000,1500,automatic,2,righthand,petrol
128,450,nissan,note,2010,98000,1500,automatic,2,righthand,petrol
129,450,nissan,march,2011,67000,1200,automatic,2,righthand,petrol
130,450,nissan,note,2010,57000,1500,automatic,2,righthand,petrol
131,450,nissan,note,2011,118000,1500,automatic,2,righthand,petrol
132,450,nissan,note,2012,51700,1500,automatic,2,righthand,petrol
133,450,nissan,march,2011,101000,1200,automatic,2,righthand,petrol
134,450,daihatsu,move,2006,92100,660,automatic,4,righthand,petrol
135,450,mitsubishi,delica d2,2012,163500,1200,automatic,2,righthand,petrol
136,450,mitsubishi,pajero mini,2000,116000,660,automatic,4,righthand,petrol
137,450,nissan,tiida,2010,108000,1500,automatic,2,righthand,petrol
138,457,toyota,sienta,2004,94806,1500,automatic,2,righthand,petrol
139,460,nissan,note,2011,77000,1500,automatic,2,righthand,petrol
140,465,bmw,mini,2002,95500,1600,manual,2,righthand,petrol
141,467,mitsubishi,colt,2009,61860,1330,automatic,2,righthand,petrol
142,467,toyota,platz,2000,34160,1500,automatic,2,righthand,petrol
143,471,nissan,bluebird sylphy,2007,51304,2000,automatic,2,righthand,petrol
144,476,mazda,verisa,2006,58402,1500,automatic,2,righthand,petrol
145,480,nissan,note,2010,128000,1500,automatic,2,righthand,petrol
146,480,toyota,passo,2011,104000,1000,automatic,2,righthand,petrol
147,480,nissan,march,2006,77066,1300,manual,2,righthand,petrol
148,485,mitsubishi,eclipse,2002,73641,2970,automatic,2,lhd,petrol
149,489,honda,insight,2009,133541,1290,automatic,2,righthand,petrol
150,489,honda,fit,2009,103465,1290,automatic,2,righthand,petrol
151,489,nissan,march,2011,48000,1200,automatic,2,righthand,petrol
152,490,toyota,passo,2011,115200,1000,automatic,2,righthand,petrol
153,490,nissan,cube,2010,137000,1500,automatic,2,righthand,petrol
154,490,toyota,passo,2011,93600,1000,automatic,2,righthand,petrol
155,490,nissan,march,2011,103000,1200,automatic,2,righthand,petrol
156,490,nissan,march,2011,77000,1200,automatic,2,righthand,petrol
157,490,nissan,march,2006,68000,1200,automatic,2,righthand,petrol
158,490,toyota,passo,2010,96000,1000,automatic,2,righthand,petrol
159,490,nissan,cube,2011,135000,1500,automatic,2,righthand,petrol
160,490,nissan,march,2011,71000,1200,automatic,2,righthand,petrol
161,490,toyota,passo,2011,188600,1000,automatic,2,righthand,petrol
162,490,nissan,tiida,2010,98000,1500,automatic,4,righthand,petrol
163,490,toyota,passo,2010,91000,1000,automatic,2,righthand,petrol
164,490,nissan,cube,2010,115000,1500,automatic,2,righthand,petrol
165,490,nissan,note,2007,19000,1500,automatic,2,righthand,petrol
166,490,toyota,vitz,2007,82000,1000,automatic,2,righthand,petrol
167,490,toyota,bb,2010,119000,1500,automatic,2,righthand,petrol
168,490,nissan,note,2012,178400,1500,automatic,2,righthand,petrol
169,490,nissan,cube,2012,126300,1500,automatic,2,righthand,petrol
